楽屋広すぎじゃない？ https://t.co/1BEvIXUczZ
いつまでたっても変わらない。そんなものあるだろうか。とも思うし、永遠にずっと変わらないなんて燃えないゴミと一緒じゃないか。とも思う。そうだよねヒロト
10年ってあっという間だな。きっと10年後にもそう思うんだろうな。楽しく生きていきてえなあ。とかセンチメンタルになったりして。秋のせいにしたら秋は怒るかしら
あっ、スイッチのドラクエ復活してまたやりこみたいってのもあった
なんか顔が熱い。ラーメン食べたい。喉が痛い。赤いワイン飲みたい。これが今小沢が考えていることの全てです。
話スピードワゴン終了。今回のゲストはレイザーラモンでした！面白い二人組だー！ https://t.co/1ptR03smSQ
毎月最終月曜日は下北沢でスピードワゴンがライブやってます。奇数月の今月は『話スピードワゴン』お暇な方は是非！ https://t.co/gEJ2M4HShp
帰りの飛行機でも食べ過ぎた。そして風邪をひいた小沢は考えるのをやめた https://t.co/PdjK72Phnc
明日の朝中京テレビでオンエアの大徳さんで徳井くんと常滑を回るロケ楽しかったなあ。ずっと終わりたくなかったなあ。これからもポイポイゲームしてたいなぁ
ラスベガス最後の食事はサンドイッチ。これ食べたらロスに向かいます。 https://t.co/mx1SMeqGx9
食べ過ぎて完全にお腹出てる事件 https://t.co/fVwe0s1i4e
ラスベガスは朝5時。日本では今頃夜ご飯だろうか。この旅はよく食べる旅だった https://t.co/JQzoLXDpuP
ラスベガスの夜は更けて https://t.co/OM59fO8rm2
いい天気。お腹いっぱい。 https://t.co/hTfRXmNReF
ラスベガス。ランチはホテルのビュッフェ。どうしても取り過ぎてしまう https://t.co/89Pw7SPIvj
これがこの店で一番小さいサイズだっていうんだからそりゃアメリカでけえよな https://t.co/vgKcU82stK
ラスベガスについて一発目の食事。浅井さんはステーキとパスタとサラダを頼んでくれていました。 https://t.co/hlldAnscJI
バドワイザー飲み干す浅井さん https://t.co/FvFhiy7jdm
合流してレストランに着くと片言英語の浅井さんが頼んでくれた。頼もしい。小沢は片っぽすらなく無言。何が届くか小沢はまだ知らない
ホテル着いて1時間だけ部屋で寝てから合流する約束だった。音楽ガンガンかけて寝てたので電話の音も気づかないで今外は夜。浅井さんに連絡も取れず浅井さんの部屋番号もわからずラスベガス初日は過ぎて行く
浅井マネージャーと二人きりでラスベガスにやって来た https://t.co/2mgJKd4j1z
10時間以上飛行機に乗っていたから結構食べたな。目的地はまだ。乗り換えて向かう。 https://t.co/YUM5puamRR
いつも旅に出ると体重がものすごく増えて帰ってくるので今回の旅は食べたものを記録していこうと思ってます。今朝は66.1キロスタートでした。帰って来る頃どうなっているのでしょうか。今日最初に口にしたのは空港でカレーです https://t.co/OXROs9luFD
僕が旅に出る理由はいくつくらいあるのだろうか https://t.co/cVB7iHzL3H
旅に出る時にいつも何か忘れ物をした気持ちになるのだが名前をつけてくれ
二人で使うには楽屋広い https://t.co/OolpAzMzvu
いつか息子ができたら習わせたい
面白い人たち見つけた https://t.co/35Q8j25ydb
毎週月曜深夜一時からはabemaTVにてスピードワゴンのtheNIGHT。今夜も生放送です！その前に腹ごしらえ！なんか毎週月曜夜ご飯これの気がする https://t.co/9rsjavqLHk
僕は野球ファンです。僕の野球好きはジャイアンツが生みの親でドラゴンズが育ての親で他の球団も全部が家族と思ってます。素晴らしい野球の試合を見たいからどのカードでも球場に観に行きます。だからカープ優勝もすごく興奮するしCSも楽しみです！
子供の頃篠塚選手に憧れて少年野球を始めました。父方のお爺ちゃんもお婆ちゃんも東京なのでジャイアンツで野球を知りました。愛知県で育ちドラゴンズの良さをたくさん知りました。野球を知れば知るほどどの球団にも魅力を感じました。だからどの球団が優勝しても嬉しいです。綺麗事じゃなくて。
特番収録終わって楽屋に戻って来たらカープ優勝してた！広島カープ、カープファンの皆様おめでとうございます！野球はやっぱり凄い！まだまだ面白い試合見せてください！今日たまたまこの靴履いて来ててよかった https://t.co/yCNeeR1HLw
そろそろお風呂にたっぷりと浸かる季節になってきた。たっぷりっていう音好き。音としてはちょっぴりの方が好きだけど。
結婚というものはよくわからないけど結婚式は好きだから死ぬ前に一回はやってみたいなぁ
結婚式はいいなあ。毎日結婚式出てたら戦争とかしてる暇ねえなあ
もしも人生が10回あるなら伊波君みたいに一回は生きてみたい https://t.co/ZCC9m5XEzk
伊波君は小沢より随分歳は下だけど今まで太陽を浴びた時間では勝てる気がしない。
7年くらいスピードワゴンのマネージャーをやってくれた伊波くんの結婚式。 https://t.co/INZIowZUp9
ホリプロ社長とうちのマネージャーとななめ47°になりました https://t.co/gOb7Gnyjnx
マスマンのカープグッズに囲まれて https://t.co/Qfjal2DLJZ
明日友達の結婚式に行くんだけどめちゃくちゃ遠いところでやるらしく行きからスーツで行くか悩む。暑そう
寝言言う人を見ると、ああ夢見てるんだなって幸せな気分になる。声のボリューム問題は別として。
ENGEIグランドスラムで漫才やれる幸せ。毎回新ネタやらさせてもらえる幸せ。最高のお客さんの前でやれる幸せ。嬉しい。もっとやりたい。すぐにでも
まもほん https://t.co/x3QBRsFh2t
風が気持ちよく何かいいことありそう
こんな顔だったっけ https://t.co/l5dWbr7c2L
面白い美人見つけた https://t.co/LbSXfYlvfV
秋からの新番組の収録終了。楽しかった。次の現場へ向かう。
